1,1,24.68,24.68,1,1,1,13.34,1,1,1,1,-14.03,1,1,-7.49,1,-9.37,-14.03,13.34
24.68,1,33.6,33.6,1,1,-6.54,1,1,1,20.26,20.26,33.6,1,1,-6.54,1,1,1,20.26
1,1,-1.88,58.28,24.68,1,-6.54,1,1,-6.54,1,44.94,-1.88,1,1,1,44.94,1,13.34,1
-1.88,1,1,1,44.94,-9.37,1,24.68,44.94,1,1,-1.88,-6.54,24.68,1,1,1,-9.37,1,1
-9.37,1,44.94,13.34,13.34,1,1,1,1,-15.91,24.68,13.34,-7.49,1,-6.54,1,1,-7.49,24.68,1
1,1,1,1,33.6,1,1,1,1,1,13.34,20.26,1,-14.03,1,1,1,1,1,1
1,-6.54,1,1,-6.54,-6.54,20.26,1,1,1,20.26,20.26,1,1,20.26,-6.54,44.94,1,1,1
-9.37,-1.88,1,1,1,-14.03,-6.54,1,44.94,1,1,-1.88,-7.49,24.68,1,1,1,-14.03,1,1
1,1,1,13.34,1,1,1,1,1,1,1,-1.88,1,-7.49,44.94,-7.49,1,1,1,20.26
58.28,1,1,20.26,-6.54,1,20.26,13.34,1,58.28,1,20.26,1,1,1,1,44.94,-7.49,1,1
1,1,1,1,1,-6.54,1,1,1,-6.54,1,1,-14.03,-7.49,1,1,20.26,1,1,1
-1.88,-6.54,-6.54,1,1,20.26,20.26,1,1,-6.54,-6.54,20.26,1,1,18.38,20.26,20.26,1,20.26,1
-14.03,1,1,1,1,13.34,-6.54,-14.03,1,1,1,1,1,1,20.26,1,1,-7.49,1,1
1,1,33.6,1,1,1,24.68,1,-7.49,33.6,1,-6.54,1,1,1,-7.49,1,-7.49,1,-7.49
-14.03,44.94,1,-6.54,1,1,20.26,1,20.26,1,20.26,20.26,1,1,33.6,1,20.26,1,1,1
1,1,1,1,-6.54,1,1,1,1,1,-14.03,20.26,-7.49,-1.88,1,1,1,-7.49,1,1
1,33.6,1,1,1,1,20.26,1,1,20.26,1,44.94,1,1,20.26,1,20.26,1,1,1
13.34,1,1,1,-7.49,1,1,-7.49,-7.49,1,1,1,-7.49,-7.49,-6.54,1,1,13.34,-7.49,1
1,44.94,1,-7.49,1,1,1,1,1,1,-7.49,20.26,1,1,1,1,1,1,1,1
24.68,1,1,1,1,1,33.6,1,1,20.26,1,20.26,1,-7.49,1,1,1,1,1,1